Date,Nombre de minutes actives,Calories (kcal),Distance (m),Points cardio,Minutes cardio,Basse latitude (°),Basse longitude (°),Haute latitude (°),Haute longitude (°),Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Vélo"" (ms)","Durée de l'activité ""Inactif"" (ms)","Durée de l'activité ""Marche à pied"" (ms)","Durée de l'activité ""Course à pied"" (ms)","Durée de l'activité ""Elliptique"" (ms)","Durée de l'activité ""Entraînement fractionné haute intensité"" (ms)"
2018-10-23,45,1575.5564736219949,1658.0716440677643,6.0,6,,,,,0.7605352019557248,1.5485402345657349,0.2776152491569519,3041,,,,,79882606,2824856,,,
2018-10-24,88,1754.657471563269,4449.571523785591,38.0,38,,,,,0.7201556041799784,1.565811038017273,0.2774469256401062,7311,,,,,75679894,5024059,,,
2018-10-25,101,1872.3472587351905,3862.136083006859,23.0,23,,,,,0.4974741272706742,1.489230990409851,0.2550294101238251,7208,,,,,78521886,7878114,,,
2018-10-26,63,1648.1380738108232,1949.404200553894,9.0,9,,,,,0.5538167317027214,1.6815377473831177,0.297534316778183,3578,,,,,77198326,3092535,,,
2018-10-27,38,1668.2632452276823,1451.5149837732315,6.0,6,,,,,0.5449164440694646,1.4081048965454102,0.24734839797019958,3213,,,,,79545549,3492468,,,
2018-10-28,39,1724.7790970866881,1851.3589959144592,13.0,13,,,,,0.640390741812804,1.4753997325897217,0.26565563678741455,3189,,,,,80680595,3225215,,,
2018-10-29,27,1542.816805292165,401.96445739269257,,,,,,,0.5587617930535718,1.3438292741775513,0.31878677010536194,1588,,,,,84783401,1586351,,,
2018-10-30,88,1777.062126349014,2228.3685787916183,,,,,,,0.5397542375476245,1.6868658065795898,0.2550294101238251,5206,,,,,80402847,5937087,,,
2018-10-31,40,1593.2722812638692,893.4442601203918,1.0,1,,,,,0.3990057962278446,1.4589922428131104,0.2869080901145935,2264,,,,,84252547,1877213,,,
2018-11-01,36,1675.2523915862082,713.603024482727,,,,,,,0.5613915084331987,1.1050662994384766,0.2869080901145935,2414,,,,,82744030,3475742,,,
2018-11-02,41,1703.1062693597858,990.552739739418,,,,,,,0.4286078979979577,1.0280886888504028,0.26565563678741455,2963,,,,,81518105,4758702,,,
2018-11-03,79,1740.5286218044619,3109.343840241432,22.0,22,48.7138759,2.2431159,48.7197321,2.2480804,0.6202394587171992,1.8899999856948853,0.09405815601348877,5926,,,,,81531300,4748563,,,
2018-11-04,7,1528.367498596167,105.83721911907196,,,,,,,0.3453607082263659,0.7200000286102295,0.2490101307630539,755,,,,,85788365,611635,,,
2018-11-05,81,1796.736099676979,3803.1005722880363,21.0,19,48.7180225,2.2469045,48.7926796,2.3661916,0.7211711830291079,1.9607089757919312,0.020293831825256348,6094,,,,,75619171,5844552,,,
2018-11-06,55,1627.3384603430754,1858.0721415281296,11.0,11,,,,,0.767483468590215,1.5179246664047241,0.2672964036464691,3428,,,,,79262205,2783297,,,
2018-11-07,46,1616.4579408480663,1655.880190372467,10.0,10,,,,,0.6198570889943892,1.6431001424789429,0.297534316778183,3191,,,,,78109399,2329308,,,
2018-11-08,48,1646.7191971455468,1881.0994701385498,12.0,11,,,,,1.123554408774378,15.920000076293945,0.26565563678741455,3572,,,,,78389027,2919374,,,
2018-11-09,66,1679.2707637682593,2932.4857943058014,22.0,18,,,,,0.7049044177279716,1.82724928855896,0.26565563678741455,5070,,,,,78446384,4057735,,,
2018-11-10,19,1541.3221160125436,361.69972264766693,,,,,,,0.4793896749377797,1.4057477712631226,0.2594684958457947,1499,,,,,85535762,864238,,,
2018-11-11,13,1521.668600668194,118.86984491348267,,,,,,,0.5552468583062176,1.0083273649215698,0.3193407356739044,1070,,,,,85768846,481015,,,
2018-11-12,72,1682.1284588690946,2420.2324056625366,16.0,16,,,,,0.8293949621754275,1.8027887344360352,0.2550294101238251,4759,,,,,78606014,3951102,,,
2018-11-13,63,1695.8668094958484,2340.3807094097137,12.0,12,,,,,0.8484274133079603,1.6578867435455322,0.2550294101238251,4219,,,,,78366210,4111627,,,
2018-11-14,79,1674.6415824375902,3426.031428217888,20.0,20,,,,,0.7560074321842397,1.6754608154296875,0.2762818932533264,5449,,,,,76936357,4615794,,,
2018-11-15,69,1642.6482582590515,2466.2738457918167,15.0,15,48.7886254,2.3671871,48.788749,2.3682507,1.1887425950163555,36.0,0.28207409381866455,4524,,,,,78214579,3456040,,,
2018-11-16,63,1692.5774043966821,2463.097296178341,16.0,16,48.7165897,2.2453103,48.7881199,2.3675552,1.073821223902677,19.399999618530273,0.06109105050563812,4516,,,,,78443844,3813563,,,
2018-11-17,89,1744.697939979122,4366.456267118454,36.0,34,48.716855,2.2455348,48.8489567,2.3403167,1.692263587387401,66.0,0.04131022095680237,7329,,,,,78104752,4829859,,,
2018-11-18,67,1738.1305827490933,3549.1197950839996,23.0,23,48.7123319,2.2430289,48.7196123,2.2482168,1.3574372752543122,6.0,0.10210053622722626,5563,,,,,81698196,4701804,,,
2018-11-19,75,1617.1865623559772,2635.7005871534348,18.0,17,48.718494,2.2467667,48.7890057,2.3681026,2.7866701936678813,17.899999618530273,0.28836581110954285,5433,,,,,78113971,4039161,,,
2018-11-20,56,1660.681021895187,1821.0257465839386,12.0,12,48.7165891,2.2452672,48.719618,2.2475455,1.205393953471862,10.670000076293945,0.048431508243083954,3876,,,,,78871052,3742761,,,
2018-11-21,76,1766.0223514090408,4213.2983008138835,33.0,32,48.711712,2.2430464,48.7805642,2.3138206,0.9372207351201199,21.700000762939453,0.052423540502786636,6905,,,,,77702826,5240259,,,
2018-11-22,59,1699.5043340089592,2586.301358640194,11.0,11,,,,,1.8427938336764023,50.0,0.2579226791858673,4503,,,,,78517317,4130390,,,
2018-11-23,68,1696.6897907870723,2796.023290872574,16.0,16,48.7884956,2.363917,48.7887138,2.3641383,1.3192584726459857,27.0,0.28797486424446106,5324,,,,,77205210,4557813,,,
2018-11-24,86,1750.3625787101184,4000.3791254758835,23.0,23,48.7119015,2.24305,48.719726,2.2481204,0.6162290821324554,2.0299999713897705,0.07522313296794891,6527,,,,,79610407,5870871,,,
2018-11-25,34,1606.2957791356084,620.5755805969238,,,,,,,0.9675290261193128,3.009999990463257,0.24578970670700073,2213,,,,,82695120,2653298,,,
2018-11-26,61,1730.260625495479,2612.5587413311005,17.0,17,48.7174454,2.246045,48.7196639,2.248006,0.8972144303235857,4.0,0.26565563678741455,4975,,,,,78577071,4340895,90093,,
2018-11-27,50,1674.4083027659733,2305.2816410064697,14.0,14,,,,,1.1831037538254785,18.639999389648438,0.26565563678741455,3815,,,,,78714616,3459283,,,
2018-11-28,61,1721.9977242376729,2989.042978167534,18.0,18,,,,,0.7939316101094458,1.779515266418457,0.2762818932533264,4940,,,,,78372005,4387229,,,
2018-11-29,82,1755.292930043006,4166.773517489433,27.0,27,48.7121421,2.2432712,48.7208816,2.24882,2.348205509713948,65.0,0.20948588848114014,6600,,,,,71918301,5139342,,,
2018-11-30,51,1610.874266929673,2152.7186087220907,14.0,14,,,,,0.707212343944062,21.899999618530273,0.00874358881264925,4080,,,,,78508020,3395404,,,
2018-12-01,32,1594.575398255702,582.2265584468842,,,,,,,1.0414697914289988,7.5,0.2738288640975952,1880,,,,,82202047,1902623,,,
2018-12-02,18,1568.5705255176217,373.65466690063477,,,,,,,1.6789394903360877,6.0,0.297534316778183,1318,,,,,84283581,1395554,,,
2018-12-03,66,1752.1112077890618,2775.614582300186,14.0,13,48.7884708,2.3639,48.7887406,2.3656566,0.6500945784136122,9.319999694824219,0.266804575920105,5192,,,,,77262082,5184575,,,
2018-12-04,62,1722.6026809034665,2744.2141242027283,12.0,12,,,,,0.6587109603241014,1.6119204759597778,0.26565563678741455,4901,,,,,78231569,4398519,,,
2018-12-05,51,1659.7900388715607,2475.7309931516647,14.0,14,,,,,0.6605890456085934,1.6121901273727417,0.25789588689804077,4192,,,,,79368460,3608179,,,
2018-12-06,30,1534.1652865776562,842.7651178836823,2.0,2,,,,,0.6532727623966766,1.3544552326202393,0.26565563678741455,1981,,,,,80111560,1896547,,,
2018-12-07,98,1627.3877739214315,2751.3215408325195,11.0,10,,,,,0.6179831456937712,1.7679274082183838,0.2762818932533264,6248,,,,,77385980,6159542,,,
2018-12-08,28,1582.8418720702653,471.95822763442993,,,,,,,0.4125480558693696,1.1298980712890625,0.3180016279220581,1722,,,,,84395738,1673831,,,
2018-12-09,54,1666.51664502969,3056.9735612869263,20.0,20,48.7120217,2.2422583,48.7196895,2.2480265,0.6404239334318046,2.990000009536743,0.2540973722934723,5320,,,,,82610280,3305403,,,
2018-12-10,57,1678.4227145527786,1861.5025043487549,5.0,5,,,,,0.642059805010641,1.6928157806396484,0.2869080901145935,3734,,,,,77253516,3537560,,,
2018-12-11,97,1770.7771880190712,3069.7043192386627,12.0,12,,,,,0.7420329274820672,1.7623475790023804,0.2505962550640106,6894,,,,,76341854,5338381,,,
2018-12-12,52,1685.173483728871,2169.520255088806,13.0,13,48.786292,2.363571,48.788718,2.3666228,0.9341615739236506,2.009999990463257,0.3034028112888336,4306,,,,,79505477,3668234,,,
2018-12-13,66,1731.711660280215,2943.30091047287,18.0,18,48.787332,2.3678494,48.787332,2.3678494,1.1688897413228918,20.40999984741211,0.2762818932533264,5132,,,,,77864383,4576640,,,
